fecha,clae2,w_median
2007-01-01,999,687
2007-01-01,1,800
2007-01-01,2,736
2007-01-01,3,1473
2007-01-01,5,999
2007-01-01,6,2679
2007-01-01,7,1983
2007-01-01,8,1166
2007-01-01,9,2720
2007-01-01,10,1152
2007-01-01,11,1370
2007-01-01,12,1004
2007-01-01,13,1170
2007-01-01,14,1014
2007-01-01,15,1174
2007-01-01,16,980
2007-01-01,17,1304
2007-01-01,18,1137
2007-01-01,19,1459
2007-01-01,20,1389
2007-01-01,21,1651
2007-01-01,22,1343
2007-01-01,23,1300
2007-01-01,24,1502
2007-01-01,25,1098
2007-01-01,26,1281
2007-01-01,27,1203
2007-01-01,28,1182
2007-01-01,29,1521
2007-01-01,30,1177
2007-01-01,31,1146
2007-01-01,32,1122
2007-01-01,33,1186
2007-01-01,35,1528
2007-01-01,36,1212
2007-01-01,37,1185
2007-01-01,38,1452
2007-01-01,39,1223
2007-01-01,41,884
2007-01-01,42,1198
2007-01-01,43,981
2007-01-01,45,1177
2007-01-01,46,1170
2007-01-01,47,1096
2007-01-01,49,1428
2007-01-01,50,1432
2007-01-01,51,1546
2007-01-01,52,1164
2007-01-01,53,1152
2007-01-01,55,1145
2007-01-01,56,738
2007-01-01,58,1020
2007-01-01,59,981
2007-01-01,60,1284
2007-01-01,61,1162
2007-01-01,62,1271
2007-01-01,63,1116
2007-01-01,64,1560
2007-01-01,65,1460
2007-01-01,66,1143
2007-01-01,68,998
2007-01-01,69,915
2007-01-01,70,863
2007-01-01,71,946
2007-01-01,72,1000
2007-01-01,73,814
2007-01-01,74,818
2007-01-01,75,651
2007-01-01,77,1074
2007-01-01,78,1039
2007-01-01,79,1162
2007-01-01,80,1008
2007-01-01,81,823
2007-01-01,82,994
2007-01-01,85,587
2007-01-01,86,1239
2007-01-01,87,1096
2007-01-01,88,928
2007-01-01,90,797
2007-01-01,91,994
2007-01-01,92,1288
2007-01-01,93,794
2007-01-01,94,1092
2007-01-01,95,1014
2007-01-01,96,708
2007-02-01,999,691
2007-02-01,1,800
2007-02-01,2,733
2007-02-01,3,1713
2007-02-01,5,885
2007-02-01,6,2655
2007-02-01,7,1936
2007-02-01,8,1140
2007-02-01,9,2691
2007-02-01,10,1127
2007-02-01,11,1215
2007-02-01,12,1004
2007-02-01,13,1084
2007-02-01,14,977
2007-02-01,15,1045
2007-02-01,16,951
2007-02-01,17,1219
2007-02-01,18,1084
2007-02-01,19,1395
2007-02-01,20,1347
2007-02-01,21,1560
2007-02-01,22,1227
2007-02-01,23,1203
2007-02-01,24,1350
2007-02-01,25,996
2007-02-01,26,1215
2007-02-01,27,1109
2007-02-01,28,1112
2007-02-01,29,1532
2007-02-01,30,1155
2007-02-01,31,1035
