ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
34,5102,SAN XOAN,GALICIA AM,06:30 - 07:00,0,0
35,5102,SAN XOAN,GALICIA AM,07:30 - 08:00,0,1
36,5102,SAN XOAN,GALICIA AM,08:00 - 08:30,2,2
37,5102,SAN XOAN,GALICIA AM,08:30 - 09:00,0,0
38,5102,SAN XOAN,GALICIA AM,09:00 - 09:30,1,0
39,5102,SAN XOAN,GALICIA AM,09:30 - 10:00,0,2
40,5102,SAN XOAN,GALICIA AM,10:00 - 10:30,0,0
41,5102,SAN XOAN,GALICIA AM,10:30 - 11:00,1,0
42,5102,SAN XOAN,GALICIA AM,11:00 - 11:30,0,1
43,5102,SAN XOAN,GALICIA AM,11:30 - 12:00,1,0
44,5102,SAN XOAN,GALICIA AM,12:00 - 12:30,0,2
45,5102,SAN XOAN,GALICIA AM,12:30 - 13:00,0,0
46,5102,SAN XOAN,GALICIA AM,13:00 - 13:30,1,0
47,5102,SAN XOAN,GALICIA AM,13:30 - 14:00,0,0
48,5102,SAN XOAN,GALICIA AM,14:00 - 14:30,0,1
49,5102,SAN XOAN,GALICIA AM,14:30 - 15:00,0,0
50,5102,SAN XOAN,GALICIA AM,15:00 - 15:30,0,0
51,5102,SAN XOAN,GALICIA AM,15:30 - 16:00,2,4
52,5102,SAN XOAN,GALICIA AM,16:00 - 16:30,2,1
53,5102,SAN XOAN,GALICIA AM,16:30 - 17:00,1,2
54,5102,SAN XOAN,GALICIA AM,17:00 - 17:30,0,0
55,5102,SAN XOAN,GALICIA AM,17:30 - 18:00,0,0
56,5102,SAN XOAN,GALICIA AM,18:00 - 18:30,0,1
57,5102,SAN XOAN,GALICIA AM,18:30 - 19:00,0,0
58,5102,SAN XOAN,GALICIA AM,19:00 - 19:30,2,0
59,5102,SAN XOAN,GALICIA AM,19:30 - 20:00,0,2
60,5102,SAN XOAN,GALICIA AM,20:00 - 20:30,1,0
61,5102,SAN XOAN,GALICIA AM,20:30 - 21:00,0,0
62,5102,SAN XOAN,GALICIA AM,21:00 - 21:30,0,0
63,5102,SAN XOAN,GALICIA AM,21:30 - 22:00,0,1
64,5102,SAN XOAN,GALICIA AM,22:00 - 22:30,0,0
65,5103,SANTA ICIA,GALICIA AM,06:30 - 07:00,0,0
66,5103,SANTA ICIA,GALICIA AM,07:30 - 08:00,4,0
67,5103,SANTA ICIA,GALICIA AM,08:00 - 08:30,3,1
68,5103,SANTA ICIA,GALICIA AM,08:30 - 09:00,0,0
69,5103,SANTA ICIA,GALICIA AM,09:00 - 09:30,1,0
70,5103,SANTA ICIA,GALICIA AM,09:30 - 10:00,0,1
71,5103,SANTA ICIA,GALICIA AM,10:00 - 10:30,0,0
72,5103,SANTA ICIA,GALICIA AM,10:30 - 11:00,1,0
73,5103,SANTA ICIA,GALICIA AM,11:00 - 11:30,1,0
74,5103,SANTA ICIA,GALICIA AM,11:30 - 12:00,1,0
75,5103,SANTA ICIA,GALICIA AM,12:30 - 13:00,0,1
76,5103,SANTA ICIA,GALICIA AM,13:00 - 13:30,1,0
77,5103,SANTA ICIA,GALICIA AM,13:30 - 14:00,0,0
78,5103,SANTA ICIA,GALICIA AM,14:00 - 14:30,1,1
79,5103,SANTA ICIA,GALICIA AM,14:30 - 15:00,0,1
80,5103,SANTA ICIA,GALICIA AM,15:00 - 15:30,1,0
81,5103,SANTA ICIA,GALICIA AM,15:30 - 16:00,1,0
82,5103,SANTA ICIA,GALICIA AM,16:00 - 16:30,4,2
83,5103,SANTA ICIA,GALICIA AM,16:30 - 17:00,0,0
84,5103,SANTA ICIA,GALICIA AM,17:00 - 17:30,0,0
85,5103,SANTA ICIA,GALICIA AM,17:30 - 18:00,0,0
86,5103,SANTA ICIA,GALICIA AM,18:00 - 18:30,0,4
87,5103,SANTA ICIA,GALICIA AM,18:30 - 19:00,0,0
88,5103,SANTA ICIA,GALICIA AM,19:00 - 19:30,2,3
89,5103,SANTA ICIA,GALICIA AM,19:30 - 20:00,0,0
90,5103,SANTA ICIA,GALICIA AM,20:00 - 20:30,2,0
91,5103,SANTA ICIA,GALICIA AM,20:30 - 21:00,0,0
92,5103,SANTA ICIA,GALICIA AM,21:00 - 21:30,2,1
93,5103,SANTA ICIA,GALICIA AM,21:30 - 22:00,0,0
94,5103,SANTA ICIA,GALICIA AM,22:00 - 22:30,0,0
95,5104,VIRXE DO MAR,GALICIA AM,06:00 - 06:30,0,0
